id,created_at,full_text_preprocessed,entities.symbols,num_cashtags,query_params
1510405416223907844,Sat Apr 02 23:54:47 +0000 2022,tlry anyone know the ticker for med men retailer modes for tilray,"[{'text': 'TLRY', 'indices': [0, 5]}]",1,query:$TLRY -$GME -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510402350174781440,Sat Apr 02 23:42:36 +0000 2022,tlry i have a combined shares of weed plays time to pass senate potx crlbf tlry sndl kern show us the money honey,"[{'text': 'TLRY', 'indices': [0, 5]}, {'text': 'POTX', 'indices': [75, 80]}, {'text': 'CRLBF', 'indices': [81, 87]}, {'text': 'TLRY', 'indices': [88, 93]}, {'text': 'SNDL', 'indices': [94, 99]}, {'text': 'KERN', 'indices': [100, 105]}]",6,query:$TLRY -$GME -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510402062546137094,Sat Apr 02 23:41:28 +0000 2022,nio tlry cgc jd bidu nows the time to buy pot and chinese tech man i feel dirty but it feels so good if its wrong i dont wanna be right,"[{'text': 'NIO', 'indices': [0, 4]}, {'text': 'TLRY', 'indices': [5, 10]}, {'text': 'CGC', 'indices': [11, 15]}, {'text': 'JD', 'indices': [16, 19]}, {'text': 'BIDU', 'indices': [20, 25]}]",5,query:$TLRY -$GME -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510392771689213952,Sat Apr 02 23:04:33 +0000 2022,tlry yaaaaa rogans smokin bud in commemoration of the bill being passed probably bucks premarket followed by market makers fuckery all week up until it passes senate,"[{'text': 'TLRY', 'indices': [0, 5]}]",1,query:$TLRY -$GME -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510392638905917441,Sat Apr 02 23:04:01 +0000 2022,tlry shares too cheap assets gt market cap great setup into earnings this weds,"[{'text': 'TLRY', 'indices': [0, 5]}]",1,query:$TLRY -$GME -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510391880068247552,Sat Apr 02 23:01:00 +0000 2022,tlry feds need tax dollars for bbb this wiil pass deals being done by republicans on funds from bbb vote yes or get left out of the pie basically dont sell for pennies hold for triple figures,"[{'text': 'TLRY', 'indices': [0, 5]}]",1,query:$TLRY -$GME -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510391647900684288,Sat Apr 02 23:00:05 +0000 2022,this year aapl is down  amd is down  nio is down  pbct is up  tlry is up ,"[{'text': 'AAPL', 'indices': [12, 17]}, {'text': 'AMD', 'indices': [33, 37]}, {'text': 'NIO', 'indices': [54, 58]}, {'text': 'PBCT', 'indices': [75, 80]}, {'text': 'TLRY', 'indices': [93, 98]}]",5,query:$TLRY -$GME -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510390917152210944,Sat Apr 02 22:57:11 +0000 2022,tlry we may have tlry rally on monday pre market gl to whoever holding over weekend,"[{'text': 'TLRY', 'indices': [0, 5]}]",1,query:$TLRY -$GME -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510386090284576768,Sat Apr 02 22:38:00 +0000 2022,msos tlry cgc safe banking is a huge catalyst that cannabis stocks are not pricing in more act is more about inequalitysocial issues,"[{'text': 'MSOS', 'indices': [0, 5]}, {'text': 'TLRY', 'indices': [6, 11]}, {'text': 'CGC', 'indices': [12, 16]}]",3,query:$TLRY -$GME -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510384407227498499,Sat Apr 02 22:31:18 +0000 2022,tlry midterms comomg up senate will pass or they will be replaced its that simple everyone tokes ,"[{'text': 'TLRY', 'indices': [0, 5]}]",1,query:$TLRY -$GME -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406722770579458,Sat Apr 02 23:59:59 +0000 2022,aapl spy gme weird characters in comments are a way for people to get paid for promoting bullshit thats a marker when you see this  or something like that those are paid influencers dont even bother,"[{'text': 'AAPL', 'indices': [0, 5]}, {'text': 'SPY', 'indices': [6, 10]}, {'text': 'GME', 'indices': [11, 15]}]",3,query:$GME -$TLRY -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406169096949765,Sat Apr 02 23:57:47 +0000 2022,gme lots of bears coming out because they know they are in over their heads and cant understand why also they are over leveraged when we can careless buy and hold is the only thing i know how to do ooops,"[{'text': 'GME', 'indices': [0, 4]}]",1,query:$GME -$TLRY -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406145927749636,Sat Apr 02 23:57:41 +0000 2022,i dont think gamestops splitstock dividend filing is indicating any sort of spinoff but from investopedia a stock dividend is theoretically how companies do spinoffs i imagine the language in the original k would reflect this but who knows gme,"[{'text': 'GME', 'indices': [260, 264]}]",1,query:$GME -$TLRY -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406142811201539,Sat Apr 02 23:57:41 +0000 2022,gme sell,"[{'text': 'GME', 'indices': [9, 13]}]",1,query:$GME -$TLRY -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405723515088896,Sat Apr 02 23:56:01 +0000 2022,the incentive behind the stock dividend is the expectation that the share price will rise gme,"[{'text': 'GME', 'indices': [91, 95]}]",1,query:$GME -$TLRY -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405694142394370,Sat Apr 02 23:55:54 +0000 2022,i finally achieved what i wanted btc eth xtz pltr mkr iost btt aave mana ksp dnt itrm gme vib,"[{'text': 'xdc', 'indices': [59, 63]}, {'text': 'btc', 'indices': [64, 68]}, {'text': 'eth', 'indices': [69, 73]}, {'text': 'xtz', 'indices': [74, 78]}, {'text': 'pltr', 'indices': [80, 85]}, {'text': 'mkr', 'indices': [86, 90]}, {'text': 'iost', 'indices': [91, 96]}, {'text': 'btt', 'indices': [97, 101]}, {'text': 'aave', 'indices': [102, 107]}, {'text': 'mana', 'indices': [108, 113]}, {'text': 'ksp', 'indices': [114, 118]}, {'text': 'dnt', 'indices': [119, 123]}, {'text': 'itrm', 'indices': [124, 129]}, {'text': 'gme', 'indices': [130, 134]}, {'text': 'vib', 'indices': [135, 139]}]",15,query:$GME -$TLRY -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510404911191756806,Sat Apr 02 23:52:47 +0000 2022,gme investors are setting aside their differences in their attempt to leave a big and lasting impression on rplacepersonally would love to also see calls added in the buy amp hold lineare you helping our efforts of spreading the word on gme,"[{'text': 'GME', 'indices': [0, 4]}]",1,query:$GME -$TLRY -$HOOD -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
